idx,batch,type,class,priority,english,garo,confidence,discrepancy_codes,discrepancy_detail,nv_refs,rule_refs,owner_directive,native_cited
3695,8,WORD,A,P2,Time,Baji,,D5;D1;D2,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Time' | 2 distinct English glosses under Garo form 'Baji',,,False,False
3696,8,WORD,A,P2,Time,Somai,,D5;D1,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Time',,,False,False
3697,8,WORD,A,P2,Tired,bil·neng·a,superseded,D5;D1,3 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Tired',NV-080,,False,True
3698,8,WORD,A,P2,Tired,mang·meng·a,superseded,D5;D1;D2,3 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Tired' | 4 distinct English glosses under Garo form 'mang·meng·a',NV-080,,False,True
3699,8,WORD,A,P2,Tired,neng·a,verified_high,D3;D6;D1;D10,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 3 distinct Garo forms under English key 'Tired' | notes reference a cross-layer (runtime/compile) representation",NV-080,,False,True
3700,8,WORD,A,P1,Today,Da.alo,verified_high,D5;D1;D7,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Today' | 2 verified_high candidates tied under 'Today',,,False,False
3701,8,WORD,A,P1,Today,Da·al,verified_high,D5;D1;D7,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Today' | 2 verified_high candidates tied under 'Today',,,False,False
3702,8,WORD,A,P2,Tomorrow,Knal,verified_high,D5;D1,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'Tomorrow',,,False,False
3703,8,WORD,A,P1,Tree,bi·pang,verified_high,D5;D1;D7,4 record(s) differ only by english capitalization | 5 distinct Garo forms under English key 'Tree' | 4 verified_high candidates tied under 'Tree',,,False,False
3704,8,WORD,A,P1,Tree,bol·bi·pang,verified_high,D5;D1;D7,4 record(s) differ only by english capitalization | 5 distinct Garo forms under English key 'Tree' | 4 verified_high candidates tied under 'Tree',,,False,False
3705,8,WORD,A,P1,Tree,bol·pang,verified_high,D5;D1;D7,4 record(s) differ only by english capitalization | 5 distinct Garo forms under English key 'Tree' | 4 verified_high candidates tied under 'Tree',,,False,False
3706,8,WORD,A,P2,Turban,ka·di,superseded,D5;D1,3 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Turban',NV-080,,False,True
3707,8,WORD,A,P2,Turban,ko·ka,superseded,D5;D1;D2,3 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Turban' | 2 distinct English glosses under Garo form 'ko·ka',NV-080,,False,True
3708,8,WORD,A,P2,Turban,ko·tip,verified_high,D3;D6;D1;D10,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 3 distinct Garo forms under English key 'Turban' | notes reference a cross-layer (runtime/compile) representation",NV-080,,False,True
3709,8,WORD,D,P3,Turmeric,hol·di,verified_high,D3;D6,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key",,,False,False
3710,8,WORD,A,P2,Turtle,chep·a,superseded,D5;D1;D2,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'Turtle' | 3 distinct English glosses under Garo form 'chep·a',NV-080,,False,True
3711,8,WORD,A,P2,Turtle,chi·jong,superseded,D5;D1,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'Turtle',NV-080,,False,True
3712,8,WORD,A,P2,Turtle,kattu·a,superseded,D5;D1,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'Turtle',NV-080,,False,True
3713,8,PHRASE,A,P2,two dogs,achak mang·gni,verified_high,D3;D2,"1 other record(s) share identical (english,garo) | 4 distinct English glosses under Garo form 'achak mang·gni'",,,False,False
3714,8,WORD,A,P2,Umbrella,sat·ti,verified_high,D5;D1,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'Umbrella',,,False,False
3715,8,WORD,A,P2,Vagina,Sepak,,D5;D1,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Vagina',,,False,False
3716,8,WORD,A,P2,Vagina,Si'i,,D5;D1,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Vagina',,,False,False
3717,8,WORD,A,P2,Vagina,Si.i akol,,D5;D1,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Vagina',,,False,False
3718,8,WORD,A,P2,Voice,ku·ra·ma,superseded,D5;D1,2 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'Voice',NV-080,,False,True
3719,8,WORD,A,P2,Voice,ku·rang,verified_high,D3;D6;D1;D10,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct Garo forms under English key 'Voice' | notes reference a cross-layer (runtime/compile) representation",NV-080,,False,True
3720,8,WORD,A,P1,Walk,re·am·a,verified_high,D5;D1;D2;D7,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'Walk' | 3 distinct English glosses under Garo form 're·am·a' | 2 verified_high candidates tied under 'Walk',,,False,False
3721,8,WORD,A,P2,Watermelon,tor·mus,verified_high,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'Watermelon' | 2 distinct English glosses under Garo form 'tor·mus',,,False,False
3722,8,WORD,A,P2,Week,sop·ta,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'Week' | notes explicitly flag an unresolved tension/contradiction,NV-087,,False,True
3723,8,WORD,A,P2,West,pos·chiim,superseded,D5;D1,2 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'West',NV-080,,False,True
3724,8,WORD,A,P2,West,sal·i·ram,verified_high,D3;D6;D1;D10,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct Garo forms under English key 'West' | notes reference a cross-layer (runtime/compile) representation",NV-080,,False,True
3725,8,WORD,A,P2,Wet,ma·jim·a,superseded,D5;D1,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Wet',NV-080,,False,True
3726,8,WORD,A,P2,Wet,so·si·a,verified_high,D5;D1;D10,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Wet' | notes reference a cross-layer (runtime/compile) representation,NV-080,,False,True
3727,8,SENTENCE,A,P2,What is going on?,Maia Kosak·o re·angenga maia?,verified_high,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'What is going on?' | 2 distinct English glosses under Garo form 'Maia Kosak·o re·angenga maia?',,,False,False
3728,8,SENTENCE,A,P1,What is your name?,Na·a ni bimungara maia?,verified_high,D5;D1;D7,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'What is your name?' | 2 verified_high candidates tied under 'What is your name?',,,False,False
3729,8,SENTENCE,A,P1,What is your name?,Nang·ni bimungara maia?,verified_high,D5;D1;D2;D7,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'What is your name?' | 2 distinct English glosses under Garo form 'Nang·ni bimungara maia?' | 2 verified_high candidates tied under 'What is your name?',,,False,False
3730,8,SENTENCE,A,P2,What job do you do?,Na·ara mai kamko ka·a?,verified_high,D2,2 distinct English glosses under Garo form 'Na·ara mai kamko ka·a?',,,False,False
3731,8,SENTENCE,A,P2,What's the time?,Mai somoi / baji?,verified_high,D2,2 distinct English glosses under Garo form 'Mai somoi / baji?',,,False,False
3732,8,WORD,A,P2,Whistle,ku·sim·ok·a,verified_high,D5;D1;D10,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'Whistle' | notes reference a cross-layer (runtime/compile) representation,NV-080,,False,True
3733,8,WORD,A,P2,Whistle,pi·pi,superseded,D5;D1,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'Whistle',NV-080,,False,True
3734,8,WORD,A,P2,Whistle,su·i ron·a,superseded,D5;D1,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'Whistle',NV-080,,False,True
3735,8,WORD,A,P2,White,bok·a,superseded,D5;D1;D2,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'White' | 3 distinct English glosses under Garo form 'bok·a',NV-080,,False,True
3736,8,WORD,A,P2,White,gip·bok,verified_high,D5;D1;D10,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'White' | notes reference a cross-layer (runtime/compile) representation,NV-080,,False,True
3737,8,SENTENCE,A,P1,Why do you laugh?,Maina na·a ka·dinga?,verified_high,D5;D1;D2;D7,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Why do you laugh?' | 2 distinct English glosses under Garo form 'Maina na·a ka·dinga?' | 3 verified_high candidates tied under 'Why do you laugh?',,,False,False
3738,8,SENTENCE,A,P1,Why do you laugh?,Maina (na·a) ka·dinga?,verified_high,D5;D1;D7,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Why do you laugh?' | 3 verified_high candidates tied under 'Why do you laugh?',,,False,False
3739,8,WORD,A,P2,Wide,ap·dal·a,superseded,D5;D1,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'Wide',NV-080,,False,True
3740,8,WORD,A,P2,Wide,pel·dal·a,superseded,D5;D1,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'Wide',NV-080,,False,True
3741,8,WORD,A,P2,Wide,tim·bong,superseded,D5;D1,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'Wide',NV-080,,False,True
3742,8,WORD,A,P2,Win,jiit·ti·a,superseded,D5;D1,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Win',NV-080,,False,True
3743,8,WORD,A,P2,Win,man·chak·a,superseded,D5;D1;D2,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Win' | 4 distinct English glosses under Garo form 'man·chak·a',NV-080,,False,True
3744,8,WORD,A,P2,Wind,bal·wa,verified_high,D3;D6;D1;D2;D10,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct Garo forms under English key 'Wind' | 4 distinct English glosses under Garo form 'bal·wa' | notes reference a cross-layer (runtime/compile) representation",NV-080,,False,True
3745,8,WORD,A,P2,Wind,wen·a wen·wen·a,superseded,D5;D1,2 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'Wind',NV-080,,False,True
3746,8,WORD,A,P2,Window,ja·na·la,verified_high,D5;D1,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'Window',,,False,False
3747,8,WORD,A,P2,Wink,mik·kem·a,verified_high,D5;D1;D2;D10,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Wink' | 3 distinct English glosses under Garo form 'mik·kem·a' | notes reference a cross-layer (runtime/compile) representation,NV-080,,False,True
3748,8,WORD,A,P2,Wink,mik·sel·a,superseded,D5;D1,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Wink',NV-080,,False,True
3749,8,WORD,D,P3,Witness,sak·ki,verified_high,D3;D6,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key",,,False,False
3750,8,WORD,A,P2,Woman,me·chik,verified_high,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct English glosses under Garo form 'me·chik'",,,False,False
3751,8,WORD,A,P2,Work,ga·a,superseded,D5;D1;D2,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'Work' | 6 distinct English glosses under Garo form 'ga·a',NV-080,,False,True
3752,8,WORD,A,P2,Work,ka·a,superseded,D5;D1;D2,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'Work' | 7 distinct English glosses under Garo form 'ka·a',NV-080,,False,True
3753,8,WORD,A,P2,Worry,sim·bra·a,verified_high,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'Worry' | 5 distinct English glosses under Garo form 'sim·bra·a',,,False,False
3754,8,WORD,A,P2,Worship,ma·ni·a,verified_high,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'Worship' | 2 distinct English glosses under Garo form 'ma·ni·a',,,False,False
3755,8,WORD,A,P2,Write,chok·a,superseded,D5;D1;D2,3 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Write' | 2 distinct English glosses under Garo form 'chok·a',NV-080,,False,True
3756,8,WORD,A,P2,Write,lek·ki·a,superseded,D5;D1,3 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Write',NV-080,,False,True
3757,8,WORD,A,P2,Write,se·a,superseded,D3;D6;D1,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 3 distinct Garo forms under English key 'Write'",NV-080,,False,False
3758,8,WORD,A,P2,Yawn,e·jam·a,verified_high,D5;D1,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'Yawn',,,False,False
3759,8,WORD,A,P2,Year,bo·chor,verified_high,D5;D1,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'Year',,,False,False
3760,8,WORD,A,P2,Yellow,rim·it,verified_high,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct English glosses under Garo form 'rim·it'",,,False,False
3761,8,WORD,A,P1,Yesterday,Mejal,verified_high,D5;D1;D7,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Yesterday' | 2 verified_high candidates tied under 'Yesterday',NV-104;NV-107,,True,True
3762,8,WORD,A,P1,Yesterday,me·ja·o,verified_high,D5;D1;D7,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'Yesterday' | 2 verified_high candidates tied under 'Yesterday',NV-104;NV-107,,True,True
3763,8,PHRASE,A,P2,You're welcome,Mamingba ong·aiaba,,D5;D1,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'You're welcome',,,False,False
3764,8,PHRASE,A,P2,Younger sister,Ano,,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'Younger sister' | 4 distinct English glosses under Garo form 'Ano',,,False,False
3765,8,WORD,A,P2,abbreviated,tong·kap·a,unverified,D5;D1;D2,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'abbreviated' | 2 distinct English glosses under Garo form 'tong·kap·a',,,False,False
3766,8,WORD,A,P2,abbreviated,·kim·bak·,unverified,D5;D1;D2,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'abbreviated' | 3 distinct English glosses under Garo form '·kim·bak·',,,False,False
3767,8,WORD,A,P2,abbreviated,tong·tang·ga·tang,unverified,D5;D1,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'abbreviated',,,False,False
3768,8,WORD,A,P2,able,ham·sok·a,unverified,D5;D1;D2,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'able' | 4 distinct English glosses under Garo form 'ham·sok·a',,,False,False
3769,8,WORD,A,P1,able,man·a,verified_high,D5;D1;D2;D7,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'able' | 6 distinct English glosses under Garo form 'man·a' | 2 verified_high candidates tied under 'able',,,True,True
3770,8,WORD,A,P2,aboriginal,a·di·ba·si,unverified,D2,3 distinct English glosses under Garo form 'a·di·ba·si',,,False,False
3771,8,PHRASE,A,P2,about to,ham·a,unverified,D2,5 distinct English glosses under Garo form 'ham·a',,,False,False
3772,8,WORD,A,P2,accept,ra·chak·a,unverified,D2,5 distinct English glosses under Garo form 'ra·chak·a',,,False,False
3773,8,WORD,B,,accompany,i·ang·pa·a,unverified,,,,,False,False
3774,8,WORD,B,,accomplish,chu·sok·a,unverified,,,,,False,False
3775,8,WORD,A,P2,accuse,a·mut·a,unverified,D5;D1,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'accuse',,,False,False
3776,8,WORD,A,P2,accuse,pot·a,unverified,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'accuse' | 4 distinct English glosses under Garo form 'pot·a',,,False,False
3777,8,WORD,A,P2,ache,sa·dik·a,unverified,D2,6 distinct English glosses under Garo form 'sa·dik·a',,,False,False
3778,8,WORD,B,,acre,e·kor,unverified,,,,,False,False
3779,8,WORD,A,P2,act,daka,unverified,D2,6 distinct English glosses under Garo form 'daka',,,False,False
3780,8,WORD,A,P2,actual,chong·mot,unverified,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'actual' | 2 distinct English glosses under Garo form 'chong·mot',,,False,False
3781,8,WORD,A,P2,actually,a·sol·e,unverified,D2,4 distinct English glosses under Garo form 'a·sol·e',,,False,False
3782,8,PHRASE,B,,adam's apple,git·ok·do·ochi,unverified,,,,,False,False
3783,8,WORD,B,,add,sik·mik·a,unverified,,,,,False,False
3784,8,PHRASE,A,P2,add to curry,gek·a,unverified,D2,2 distinct English glosses under Garo form 'gek·a',,,False,False
3785,8,WORD,A,P2,additional,a·ro,unverified,D2,4 distinct English glosses under Garo form 'a·ro',,,False,False
3786,8,WORD,A,P2,adequate,nam·hang,unverified,D2,3 distinct English glosses under Garo form 'nam·hang',,,False,False
3787,8,WORD,A,P2,adolescent,dil·ding bal·jak,rejected,D5;D1;D2,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'adolescent' | 2 distinct English glosses under Garo form 'dil·ding bal·jak',,,True,True
3788,8,WORD,A,P2,adolescent,me·tra,unverified,D5;D1;D2,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'adolescent' | 4 distinct English glosses under Garo form 'me·tra',,,False,False
3789,8,WORD,A,P2,adolescent,no·mil,unverified,D5;D1,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'adolescent',,,False,False
3790,8,PHRASE,A,P2,adolescent youth,pan·te,unverified,D2,4 distinct English glosses under Garo form 'pan·te',,,False,False
3791,8,WORD,B,,adopt,ra·gat·a,unverified,,,,,False,False
3792,8,WORD,A,P2,adulterer,da·ri,unverified,D2,2 distinct English glosses under Garo form 'da·ri',,,False,False
3793,8,WORD,B,,advice,ku·chi kan·a,unverified,,,,,False,False
3794,8,WORD,A,P2,advise,bu·jai·a,unverified,D2,3 distinct English glosses under Garo form 'bu·jai·a',,,False,False
3795,8,WORD,A,P2,afraid,han·srik·han·srik,unverified,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'afraid' | 2 distinct English glosses under Garo form 'han·srik·han·srik',,,False,False
3796,8,WORD,A,P2,afraid,ken·a,unverified,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'afraid' | 4 distinct English glosses under Garo form 'ken·a',,,False,False
3797,8,WORD,A,P2,again,a·ro,unverified,D5;D1;D2,4 record(s) differ only by english capitalization | 5 distinct Garo forms under English key 'again' | 4 distinct English glosses under Garo form 'a·ro',,,False,False
3798,8,WORD,A,P2,again,·tai·,unverified,D5;D1,4 record(s) differ only by english capitalization | 5 distinct Garo forms under English key 'again',,,False,False
3799,8,WORD,A,P2,again,da·o·ba,unverified,D5;D1,4 record(s) differ only by english capitalization | 5 distinct Garo forms under English key 'again',,,False,False
3800,8,WORD,A,P2,again,pil·a,unverified,D5;D1;D2,4 record(s) differ only by english capitalization | 5 distinct Garo forms under English key 'again' | 5 distinct English glosses under Garo form 'pil·a',,,False,False
3801,8,WORD,B,,age,boi·os,unverified,,,,,False,False
3802,8,WORD,A,P2,ago,a·ge,unverified,D5;D1;D2,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'ago' | 3 distinct English glosses under Garo form 'a·ge',,,False,False
3803,8,WORD,A,P2,ago,cheng·o,unverified,D5;D1;D2,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'ago' | 2 distinct English glosses under Garo form 'cheng·o',,,False,False
3804,8,WORD,A,P2,ago,skang,unverified,D5;D1;D2,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'ago' | 3 distinct English glosses under Garo form 'skang',,,False,False
3805,8,WORD,A,P2,agreement,chuk·ti,unverified,D5;D1,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'agreement',,,False,False
3806,8,WORD,A,P2,agreement,mi·mang·sa,unverified,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'agreement' | 3 distinct English glosses under Garo form 'mi·mang·sa',,,False,False
3807,8,WORD,A,P2,aim,sin·il·a,unverified,D2,2 distinct English glosses under Garo form 'sin·il·a',,,False,False
3808,8,WORD,A,P2,alike,ap·san,unverified,D2,3 distinct English glosses under Garo form 'ap·san',,,False,False
3809,8,WORD,A,P2,alive,tang·a,unverified,D2,3 distinct English glosses under Garo form 'tang·a',,,False,False
3810,8,PHRASE,A,P2,all day,sal·prak,unverified,D5;D1,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'all day',,,False,False
3811,8,PHRASE,A,P2,all day,sal·si·si,unverified,D5;D1,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'all day',,,False,False
3812,8,PHRASE,B,,all night,wal·si·si,unverified,,,,,False,False
3813,8,WORD,A,P2,almost,dakri,unverified,D5;D1,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'almost',,,False,False
3814,8,WORD,A,P2,almost,ham·a,unverified,D5;D1;D2,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'almost' | 5 distinct English glosses under Garo form 'ham·a',,,False,False
3815,8,WORD,A,P2,almost,nam·hang,unverified,D5;D1;D2,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'almost' | 3 distinct English glosses under Garo form 'nam·hang',,,False,False
3816,8,WORD,A,P2,almost,prai,unverified,D5;D1;D2,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'almost' | 2 distinct English glosses under Garo form 'prai',,,False,False
3817,8,WORD,A,P1,alone,ak·sa,verified_high,D5;D1;D2;D7;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'alone' | 2 distinct English glosses under Garo form 'ak·sa' | 2 verified_high candidates tied under 'alone' | notes explicitly flag an unresolved tension/contradiction,NV-146;NV-151,,True,True
3818,8,WORD,A,P2,altar,be·di,unverified,D5;D1,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'altar',,,False,False
3819,8,WORD,A,P2,altar,ga·mi·pong,unverified,D5;D1,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'altar',,,False,False
3820,8,WORD,A,P2,altar,sam·ba·si·a,unverified,D5;D1,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'altar',,,False,False
3821,8,WORD,B,,alternate,chang·e·chang·e,unverified,,,,,False,False
3822,8,WORD,B,,aluminum,bo·gin·a,unverified,,,,,False,False
3823,8,WORD,A,P2,ancestors,am·bi·at·chu,unverified,D2,2 distinct English glosses under Garo form 'am·bi·at·chu',,,False,False
3824,8,WORD,A,P2,angry,bi·ka so·a,unverified,D5;D1,5 record(s) differ only by english capitalization | 6 distinct Garo forms under English key 'angry',,,False,False
3825,8,WORD,A,P2,angry,hel·hel,unverified,D5;D1,5 record(s) differ only by english capitalization | 6 distinct Garo forms under English key 'angry',,,False,False
3826,8,WORD,A,P1,angry,Ka·onanga,verified_high,D5;D1;D7;D8,5 record(s) differ only by english capitalization | 6 distinct Garo forms under English key 'angry' | 2 verified_high candidates tied under 'angry' | notes explicitly flag an unresolved tension/contradiction,NV-025;NV-054;NV-078,,True,False
3827,8,PHRASE,B,,do not be angry,Ka·o nangnabe,verified_high,,,NV-078,,True,True
3828,8,WORD,A,P2,animals,do·omat,unverified,D5;D1,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'animals',,,False,False
3829,8,WORD,A,P2,animals,mang·,unverified,D5;D1,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'animals',,,False,False
3830,8,PHRASE,A,P2,animals wild,mat·bring,unverified,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'animals wild' | 2 distinct English glosses under Garo form 'mat·bring',,,False,False
3831,8,PHRASE,A,P2,animals wild,mat·cha mak·bil,unverified,D5;D1,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'animals wild',,,False,False
3832,8,WORD,A,P2,ankle,ja·git·ok,unverified,D2,2 distinct English glosses under Garo form 'ja·git·ok',,,False,False
3833,8,PHRASE,B,,ankle bells,ja·srang,unverified,,,,,False,False
3834,8,WORD,A,P2,announce,a·gan·e don·a,unverified,D2,2 distinct English glosses under Garo form 'a·gan·e don·a',,,False,False
3835,8,WORD,A,P2,annoy,bot·a,unverified,D5;D1;D2,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'annoy' | 6 distinct English glosses under Garo form 'bot·a',,,False,False
3836,8,WORD,A,P2,annoy,mang·kal·a,unverified,D5;D1;D2,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'annoy' | 5 distinct English glosses under Garo form 'mang·kal·a',,,False,False
3837,8,WORD,A,P2,annoy,mang·meng·dil·a,unverified,D5;D1,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'annoy',,,False,False
3838,8,WORD,A,P2,annoyed,man·dik·a,unverified,D2,3 distinct English glosses under Garo form 'man·dik·a',,,False,False
3839,8,WORD,A,P2,anoint,sit·a,unverified,D2,6 distinct English glosses under Garo form 'sit·a',,,False,False
3840,8,WORD,A,P2,another,a·git·cha,unverified,D5;D1,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'another',,,False,False
3841,8,WORD,A,P2,another,gip·in,unverified,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'another' | 3 distinct English glosses under Garo form 'gip·in',,,False,False
3842,8,WORD,A,P2,anthill,ha·pru,unverified,D1,2 distinct Garo forms under English key 'anthill',,,False,False
3843,8,WORD,A,P2,anticipate,hai·chak·a,unverified,D2,2 distinct English glosses under Garo form 'hai·chak·a',,,False,False
3844,8,WORD,B,,anus,ki·sam·bu,unverified,,,,,False,False
3845,8,WORD,A,P2,anxious,ting·ting·a,unverified,D2,2 distinct English glosses under Garo form 'ting·ting·a',,,False,False
3846,8,WORD,A,P2,anywhere,ba·no·ba,unverified,D2,3 distinct English glosses under Garo form 'ba·no·ba',,,False,False
3847,8,WORD,A,P2,apart,ok·a,unverified,D2,3 distinct English glosses under Garo form 'ok·a',,,False,False
3848,8,WORD,A,P2,appear,na·a,unverified,D5;D1;D2,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'appear' | 6 distinct English glosses under Garo form 'na·a',,,False,False
3849,8,WORD,A,P2,appear,nik·a,unverified,D5;D1;D2,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'appear' | 5 distinct English glosses under Garo form 'nik·a',,,False,False
3850,8,WORD,A,P2,appear,ong·kata,unverified,D5;D1;D2,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'appear' | 3 distinct English glosses under Garo form 'ong·kata',,,False,False
3851,8,WORD,A,P2,appoint,ba·nai·a,unverified,D2,6 distinct English glosses under Garo form 'ba·nai·a',,,False,False
3852,8,WORD,A,P2,apportion,ma·at·a,unverified,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'apportion' | 2 distinct English glosses under Garo form 'ma·at·a',,,False,False
3853,8,WORD,A,P2,apportion,su·al·a,unverified,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'apportion' | 3 distinct English glosses under Garo form 'su·al·a',,,False,False
3854,8,WORD,A,P2,appropriate,ke·a,unverified,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'appropriate' | 2 distinct English glosses under Garo form 'ke·a',,,False,False
3855,8,WORD,A,P2,appropriate,kra·a,unverified,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'appropriate' | 5 distinct English glosses under Garo form 'kra·a',,,False,False
3856,8,WORD,A,P2,approximately,prai,unverified,D2,2 distinct English glosses under Garo form 'prai',,,False,False
